epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,124.79,1.17998,0.71199,0.88463,0.91859,0.83827,0.90307,0.61984,0.9369,0.62788,0.91134,0.0006179,0.0006179,0.0006179
88,126.222,1.19377,0.70976,0.89367,0.88942,0.84757,0.91088,0.6328,0.93669,0.62713,0.91084,0.000608468,0.000608468,0.000608468
89,127.603,1.18763,0.71604,0.88726,0.8841,0.85182,0.91436,0.63016,0.96566,0.65956,0.90738,0.000599037,0.000599037,0.000599037
90,128.992,1.19026,0.71186,0.88645,0.93465,0.8243,0.91079,0.63486,0.95244,0.63589,0.90284,0.000589605,0.000589605,0.000589605
91,130.376,1.20497,0.7199,0.8759,0.89975,0.8428,0.91393,0.6284,0.9578,0.62839,0.90279,0.000580174,0.000580174,0.000580174
92,131.797,1.13015,0.68468,0.87026,0.87973,0.85209,0.92438,0.63766,0.96021,0.6462,0.91712,0.000570743,0.000570743,0.000570743
93,133.198,1.15123,0.69642,0.88805,0.90143,0.87205,0.92376,0.61545,0.98899,0.63081,0.9132,0.000561311,0.000561311,0.000561311
94,134.59,1.1151,0.67795,0.87479,0.91128,0.8458,0.92826,0.63389,0.93498,0.61569,0.9048,0.00055188,0.00055188,0.00055188
95,135.978,1.13783,0.68691,0.87828,0.93536,0.84658,0.9205,0.63525,0.92445,0.62277,0.91236,0.000542448,0.000542448,0.000542448
96,137.399,1.15483,0.68386,0.8596,0.92914,0.83513,0.92056,0.63525,0.92733,0.63768,0.91435,0.000533017,0.000533017,0.000533017
97,138.822,1.17516,0.7063,0.87497,0.89493,0.86341,0.92226,0.64372,0.95239,0.63417,0.90629,0.000523586,0.000523586,0.000523586
98,140.209,1.09916,0.68154,0.87847,0.89082,0.86961,0.91341,0.63328,0.92415,0.62419,0.89638,0.000514154,0.000514154,0.000514154
99,141.612,1.11286,0.67056,0.87495,0.90754,0.85284,0.90694,0.63336,0.91601,0.60938,0.90635,0.000504723,0.000504723,0.000504723
100,143.019,1.08024,0.66485,0.87302,0.89403,0.85641,0.91935,0.64051,0.9475,0.61276,0.90389,0.000495291,0.000495291,0.000495291
101,144.404,1.11106,0.67034,0.85945,0.90343,0.86474,0.9182,0.65596,0.88785,0.59028,0.89785,0.00048586,0.00048586,0.00048586
102,145.787,1.06562,0.6492,0.87081,0.90008,0.85992,0.92277,0.62883,0.91622,0.6132,0.89279,0.000476429,0.000476429,0.000476429
103,147.159,1.11022,0.66681,0.86702,0.89024,0.86197,0.91234,0.61659,0.92668,0.60467,0.88772,0.000466997,0.000466997,0.000466997
104,148.593,1.1019,0.671,0.86571,0.90031,0.8236,0.92036,0.63436,0.9275,0.61051,0.88785,0.000457566,0.000457566,0.000457566
105,149.998,1.11863,0.66816,0.86065,0.88147,0.83647,0.91399,0.63633,0.90692,0.61586,0.88417,0.000448134,0.000448134,0.000448134
106,151.381,1.11113,0.66301,0.8688,0.87925,0.84215,0.91203,0.62573,0.89869,0.61818,0.89078,0.000438703,0.000438703,0.000438703
107,152.772,1.11906,0.67217,0.86313,0.92435,0.83108,0.9227,0.64842,0.8922,0.61426,0.89777,0.000429272,0.000429272,0.000429272
108,154.178,1.13187,0.6674,0.8467,0.89166,0.84879,0.91332,0.65438,0.89485,0.60502,0.88962,0.00041984,0.00041984,0.00041984
109,155.567,1.09689,0.65538,0.86111,0.85402,0.87827,0.92234,0.6551,0.8693,0.60157,0.89038,0.000410409,0.000410409,0.000410409
110,157.01,1.09493,0.65231,0.85762,0.88704,0.84095,0.91117,0.64526,0.88177,0.59717,0.90314,0.000400977,0.000400977,0.000400977
111,158.436,1.10984,0.67506,0.86122,0.92017,0.83547,0.92389,0.6581,0.87734,0.59746,0.90705,0.000391546,0.000391546,0.000391546
112,159.879,1.07993,0.65083,0.86281,0.92034,0.85899,0.92497,0.65879,0.87447,0.59115,0.89734,0.000382115,0.000382115,0.000382115
113,161.337,1.11546,0.65906,0.85768,0.92072,0.84874,0.92329,0.6608,0.87507,0.59134,0.89058,0.000372683,0.000372683,0.000372683
114,162.81,1.09704,0.65097,0.8666,0.88626,0.8595,0.90731,0.63965,0.8904,0.58828,0.89787,0.000363252,0.000363252,0.000363252
115,164.225,1.05913,0.64594,0.87193,0.88385,0.86406,0.90904,0.63071,0.89618,0.59514,0.89912,0.00035382,0.00035382,0.00035382
116,165.621,1.07974,0.64412,0.85469,0.89662,0.86694,0.91903,0.65018,0.90032,0.60622,0.90631,0.000344389,0.000344389,0.000344389
117,167.006,1.09537,0.65853,0.86849,0.87353,0.88727,0.92451,0.66548,0.8823,0.59609,0.89278,0.000334958,0.000334958,0.000334958
118,168.405,1.05583,0.63429,0.85176,0.90077,0.87733,0.92648,0.65316,0.87947,0.57794,0.89627,0.000325526,0.000325526,0.000325526
119,169.799,1.11987,0.65448,0.85635,0.90959,0.85731,0.92303,0.64161,0.90813,0.58504,0.90362,0.000316095,0.000316095,0.000316095
120,171.172,1.0263,0.62963,0.8632,0.92765,0.85387,0.92182,0.65407,0.89323,0.58027,0.89348,0.000306663,0.000306663,0.000306663
121,172.589,1.04422,0.62881,0.85158,0.9274,0.85653,0.92014,0.65819,0.8802,0.58181,0.89002,0.000297232,0.000297232,0.000297232
122,173.981,1.08517,0.63741,0.85841,0.91164,0.86222,0.91834,0.64872,0.90898,0.59272,0.90171,0.000287801,0.000287801,0.000287801
123,175.358,1.08779,0.65186,0.86368,0.90021,0.86632,0.92077,0.63044,0.93482,0.60464,0.90475,0.000278369,0.000278369,0.000278369
124,176.719,1.0507,0.64305,0.86575,0.90992,0.87961,0.91653,0.64602,0.8828,0.5935,0.9012,0.000268938,0.000268938,0.000268938
125,178.095,1.09426,0.64743,0.86309,0.90562,0.86052,0.9098,0.64509,0.88456,0.58596,0.89888,0.000259506,0.000259506,0.000259506
126,179.487,1.09071,0.6521,0.86062,0.89218,0.86237,0.9151,0.63433,0.91235,0.58895,0.89062,0.000250075,0.000250075,0.000250075
127,180.872,1.11492,0.65564,0.85779,0.88728,0.86931,0.91711,0.65086,0.88722,0.58128,0.88561,0.000240644,0.000240644,0.000240644
128,182.312,1.08208,0.64292,0.84721,0.88742,0.87769,0.91723,0.65717,0.8651,0.57285,0.88918,0.000231212,0.000231212,0.000231212
129,183.732,1.0519,0.61658,0.84476,0.91826,0.84988,0.91454,0.64756,0.87164,0.57838,0.8959,0.000221781,0.000221781,0.000221781
130,185.126,1.05202,0.63406,0.85128,0.92593,0.84868,0.91357,0.64623,0.87889,0.57279,0.89123,0.000212349,0.000212349,0.000212349
131,186.5,1.04196,0.62088,0.85497,0.92471,0.83709,0.91598,0.65188,0.87476,0.57699,0.88865,0.000202918,0.000202918,0.000202918
132,187.883,1.0121,0.61915,0.85284,0.90675,0.8643,0.92123,0.66384,0.8482,0.57308,0.88998,0.000193487,0.000193487,0.000193487
133,189.271,1.04496,0.63253,0.85573,0.90579,0.85604,0.91437,0.65548,0.86496,0.5829,0.88984,0.000184055,0.000184055,0.000184055
134,190.75,1.02786,0.61644,0.84531,0.89084,0.85029,0.91845,0.65582,0.87072,0.57833,0.89037,0.000174624,0.000174624,0.000174624
135,192.138,1.01834,0.61341,0.85471,0.90412,0.85317,0.91885,0.65925,0.8582,0.57233,0.88823,0.000165192,0.000165192,0.000165192
136,193.507,1.06538,0.62731,0.85413,0.91623,0.86752,0.92456,0.67065,0.84101,0.57016,0.88501,0.000155761,0.000155761,0.000155761
137,194.895,1.02845,0.62735,0.84865,0.91977,0.85392,0.91927,0.66423,0.85873,0.57414,0.88425,0.00014633,0.00014633,0.00014633
138,196.292,1.03051,0.61777,0.85144,0.94143,0.86201,0.92202,0.66257,0.86633,0.57397,0.88494,0.000136898,0.000136898,0.000136898
139,197.67,0.99367,0.60525,0.84454,0.94377,0.86477,0.92124,0.66911,0.85686,0.57124,0.88618,0.000127467,0.000127467,0.000127467
140,199.034,1.06545,0.61807,0.83661,0.9431,0.8641,0.92471,0.67241,0.8392,0.55942,0.8887,0.000118035,0.000118035,0.000118035
141,207.266,1.02641,0.65815,0.84954,0.92828,0.86102,0.91381,0.66137,0.85152,0.56528,0.89006,0.000108604,0.000108604,0.000108604
142,208.686,0.99441,0.64964,0.85128,0.93359,0.83282,0.91516,0.64182,0.86909,0.56889,0.90033,9.91726e-05,9.91726e-05,9.91726e-05
143,210.004,1.01305,0.64044,0.85254,0.92549,0.8279,0.90058,0.63395,0.86964,0.57039,0.89759,8.97412e-05,8.97412e-05,8.97412e-05
144,211.342,0.98478,0.61592,0.83512,0.91222,0.83809,0.90721,0.63941,0.87289,0.57325,0.89235,8.03098e-05,8.03098e-05,8.03098e-05
145,212.669,0.97046,0.62296,0.84126,0.90964,0.85398,0.91482,0.6468,0.88103,0.5753,0.89049,7.08784e-05,7.08784e-05,7.08784e-05
146,214.039,1.00941,0.62706,0.84095,0.91857,0.86887,0.91491,0.64245,0.89654,0.57642,0.88989,6.1447e-05,6.1447e-05,6.1447e-05
147,215.397,1.00518,0.62643,0.8356,0.92461,0.86742,0.91753,0.64602,0.88981,0.57335,0.89127,5.20156e-05,5.20156e-05,5.20156e-05
148,216.755,0.98061,0.60225,0.8328,0.91325,0.86635,0.9147,0.64741,0.88503,0.56817,0.89446,4.25842e-05,4.25842e-05,4.25842e-05
149,218.101,0.97387,0.61822,0.83521,0.91883,0.86289,0.91316,0.64871,0.88384,0.57205,0.89497,3.31528e-05,3.31528e-05,3.31528e-05
150,219.421,0.98882,0.6205,0.83424,0.92623,0.8653,0.91664,0.65015,0.88365,0.56883,0.89189,2.37214e-05,2.37214e-05,2.37214e-05
